SUBJECT,TEXT,OSPAN,SSPAN,COM1,COM2,COM3,INT1,INT2,INT3,FAM1,FAM2,FAM3,VOL,INV
88,Wind,0.662103175,0.502164502,1,0,1,1,1,1,1,2,1,0.1,0
88,Spek,0.662103175,0.502164502,3,3,2,2,2,2,1,1,1,0,0
89,Netz,0.682440476,0.606309524,2,3,3,2,1,2,2,2,2,0,0
89,Wind,0.682440476,0.606309524,2,1,1,0,0,0,0,0,0,0,0
89,Spek,0.682440476,0.606309524,2,3,3,2,2,2,2,2,2,0,0
90,Netz,0.812276786,0.614965986,0,1,2,2,3,2,2,1,2,0.5,0.5
90,Wind,0.812276786,0.614965986,1,1,1,3,3,3,2,2,2,1,0
90,Spek,0.812276786,0.614965986,2,2,3,0,0,0,1,2,2,0,0.666666667
91,Netz,0.598558897,0.365873016,2,2,2,1,2,1,0,1,1,0,0.25
91,Wind,0.598558897,0.365873016,2,2,1,1,1,0,1,0,0,0.5,0.25
91,Spek,0.598558897,0.365873016,2,0,2,0,0,0,2,2,2,1,0
92,Netz,0.594047619,0.188961039,2,3,3,3,3,3,3,3,3,0,0
92,Wind,0.594047619,0.188961039,0,1,1,0,0,0,0,1,0,0.333333333,0
92,Spek,0.594047619,0.188961039,3,3,3,3,3,3,1,2,2,0,0
93,Netz,0.871362434,0.701428571,2,2,1,3,3,2,3,3,3,0,0
93,Wind,0.871362434,0.701428571,1,0,2,2,2,2,2,3,2,0,0.4
93,Spek,0.871362434,0.701428571,1,1,1,0,1,0,0,3,0,1,0
94,Netz,0.927631579,0.680952381,1,1,0,1,1,0,0,0,2,0,0.2
94,Wind,0.927631579,0.680952381,2,0,2,3,3,3,2,3,3,0,0
94,Spek,0.927631579,0.680952381,3,2,1,3,3,3,0,1,3,0.111111111,0.111111111
95,Netz,0.863095238,0.603501401,0,2,3,2,2,2,0,2,1,0.142857143,0.428571429
95,Wind,0.863095238,0.603501401,1,0,3,1,1,2,2,2,2,0.285714286,0.571428571
95,Spek,0.863095238,0.603501401,1,1,2,0,1,2,3,3,1,0,0.5
96,Netz,0.897321429,0.521428571,1,1,1,3,2,2,2,2,2,0,0.25
96,Wind,0.897321429,0.521428571,2,2,0,1,0,1,2,1,1,0,0.5
96,Spek,0.897321429,0.521428571,0,1,2,2,3,2,1,2,1,0,0
